start_id,end_id,type
rescue_shelter,adopters,PROVIDES_ANIMALS_TO
rescue_shelter,volunteers,RELIES_ON
rescue_shelter,foster_network,PARTNERS_WITH
rescue_shelter,veterinarians,CONTRACTS_WITH
rescue_shelter,animal_control,RECEIVES_ANIMALS_FROM
rescue_shelter,fundraising_platforms,USES_FOR_DONATIONS
rescue_shelter,social_media,PROMOTES_ON
spca,rescue_shelter,SUPPORTS
humane_society,rescue_shelter,COLLABORATES_WITH
foster_network,adopters,FACILITATES_ADOPTIONS_TO
volunteers,social_media,SHARES_CONTENT_ON
veterinarians,vet_clinics,WORKS_AT
veterinarians,pharmaceutical_companies,PURCHASES_FROM
animal_control,local_government,OPERATED_BY
pet_stores,breeders,SOURCES_ANIMALS_FROM
pet_stores,adopters,COMPETES_WITH_SHELTERS_FOR
adopters,pet_supply_companies,PURCHASES_FROM
adopters,pet_insurance,BUYS_COVERAGE_FROM
transport_orgs,rescue_shelter,TRANSFERS_ANIMALS_TO
vet_clinics,microchip_companies,USES_PRODUCTS_FROM
pet_supply_companies,rescue_shelter,SUPPLIES_TO
local_government,animal_welfare_laws,ENFORCES
state_government,animal_welfare_laws,CREATES
state_government,rescue_shelter,LICENSES
federal_agencies,animal_welfare_laws,OVERSEES
university_programs,veterinarians,TRAINS
media_outlets,public_opinion,INFLUENCES
media_outlets,rescue_shelter,COVERS_STORIES_OF
celebrity_advocates,public_opinion,INFLUENCES
celebrity_advocates,rescue_shelter,PROMOTES
corporate_sponsors,rescue_shelter,FUNDS
grant_foundations,rescue_shelter,PROVIDES_GRANTS_TO
rescue_software,rescue_shelter,MANAGES_OPERATIONS_FOR
economic_conditions,adopters,AFFECTS_ADOPTION_RATES_OF
economic_conditions,rescue_shelter,IMPACTS_FUNDING_OF
rescue_shelter,funding_shortage,EXPERIENCES
rescue_shelter,overcrowding,EXPERIENCES
rescue_shelter,facility_limitations,EXPERIENCES
rescue_shelter,staff_shortage,EXPERIENCES
volunteers,volunteer_burnout,EXPERIENCES
adopters,adoption_barriers,EXPERIENCES
veterinarians,medical_costs,EXPERIENCES
vet_clinics,medical_costs,EXPERIENCES
transport_orgs,transport_coordination,EXPERIENCES
rescue_shelter,regulatory_compliance,EXPERIENCES
animal_control,regulatory_compliance,EXPERIENCES
corporate_sponsors,donor_fatigue,EXPERIENCES
grant_foundations,donor_fatigue,EXPERIENCES
rescue_shelter,public_misconceptions,IS_IMPACTED_BY
pet_stores,competition_pressure,CAUSES
rescue_shelter,competition_pressure,EXPERIENCES
rescue_shelter,seasonal_demand,EXPERIENCES
foster_network,foster_shortage,EXPERIENCES
rescue_shelter,foster_shortage,IS_IMPACTED_BY
rescue_shelter,behavioral_issues,EXPERIENCES
rescue_shelter,technology_gaps,EXPERIENCES
rescue_software,technology_gaps,CAUSES
rescue_shelter,insurance_costs,EXPERIENCES
pet_insurance,insurance_costs,INFLUENCES
pet_supply_companies,supply_chain_issues,EXPERIENCES
rescue_shelter,supply_chain_issues,IS_IMPACTED_BY
rescue_shelter,legal_liability,EXPERIENCES
animal_welfare_laws,regulatory_compliance,CAUSES
economic_conditions,funding_shortage,INFLUENCES
media_outlets,public_misconceptions,INFLUENCES
public_opinion,donor_fatigue,INFLUENCES
funding_shortage,staff_shortage,RESULTS_IN
overcrowding,volunteer_burnout,RESULTS_IN
facility_limitations,overcrowding,CAUSES
staff_shortage,volunteer_burnout,RESULTS_IN
